# energy(eV) alpha
5.022000000000000242e+00 3.113649692693334359e+00
5.035499999999999865e+00 3.134913630117339700e+00
5.049100000000000144e+00 3.155953755675537487e+00
5.062700000000000422e+00 3.176471243975933056e+00
5.076299999999999812e+00 3.196145770278658649e+00
5.089800000000000324e+00 3.214643284495198650e+00
5.103399999999999714e+00 3.231624392276425173e+00
5.116999999999999993e+00 3.246753411657730570e+00
5.130600000000000271e+00 3.259707745193562989e+00
5.144099999999999895e+00 3.270186985819615089e+00
5.157700000000000173e+00 3.277920818387841440e+00
5.171299999999999564e+00 3.282676055562466999e+00
5.184800000000000075e+00 3.284263066542779885e+00
5.198400000000000354e+00 3.282540351104644039e+00
5.211999999999999744e+00 3.277417332653391302e+00
5.225600000000000023e+00 3.268855488586462688e+00
5.239099999999999646e+00 3.256867794364558755e+00
5.252699999999999925e+00 3.241516614175441013e+00
5.266300000000000203e+00 3.222910260118442949e+00
5.279899999999999594e+00 3.201198506369616226e+00
5.293400000000000105e+00 3.176567451466814962e+00
5.307000000000000384e+00 3.149234054179192555e+00
5.320599999999999774e+00 3.119440623244071453e+00
5.334100000000000286e+00 3.087449512520189732e+00
5.347699999999999676e+00 3.053538126460610513e+00
5.361299999999999955e+00 3.017994233310867358e+00
5.374900000000000233e+00 2.981111546663419265e+00
5.388399999999999856e+00 2.943185302556577732e+00
5.402000000000000135e+00 2.904507740466780508e+00
5.415600000000000414e+00 2.865363250928660399e+00
5.429199999999999804e+00 2.826023468682504092e+00
5.442700000000000315e+00 2.786741635560051833e+00
5.456299999999999706e+00 2.747747309526940462e+00
5.469899999999999984e+00 2.709240574845473759e+00
5.483399999999999608e+00 2.671387287390413867e+00
5.496999999999999886e+00 2.634314832225424396e+00
5.510600000000000165e+00 2.598109510211330964e+00
5.524200000000000443e+00 2.562815569212786748e+00
5.537700000000000067e+00 2.528436070323319740e+00
5.551300000000000345e+00 2.494935878321048683e+00
5.564899999999999736e+00 2.462246189839674138e+00
5.578500000000000014e+00 2.430270754870556438e+00
5.591999999999999638e+00 2.398893279534716871e+00
5.605599999999999916e+00 2.367985556934853797e+00
5.619200000000000195e+00 2.337416776538572272e+00
5.632699999999999818e+00 2.307060464518397414e+00
5.646300000000000097e+00 2.276802265859992236e+00
5.659900000000000375e+00 2.246546804617278958e+00
5.673499999999999766e+00 2.216225805502974655e+00
