# energy(eV) alpha
3.903200000000000003e+00 4.137242593013492296e+05
3.925600000000000200e+00 4.196293896089487826e+05
3.947999999999999954e+00 4.271742632514580037e+05
3.970499999999999918e+00 4.365833144582299865e+05
3.992900000000000116e+00 4.433739935514710960e+05
4.015299999999999869e+00 4.568706740372533095e+05
4.037799999999999834e+00 4.690867455130473827e+05
4.060200000000000031e+00 4.899716101522318204e+05
4.082600000000000229e+00 5.069877227522439789e+05
4.105100000000000193e+00 5.235146665960058453e+05
4.127500000000000391e+00 5.468246401463047368e+05
4.149899999999999700e+00 5.463150503131895093e+05
4.172399999999999665e+00 5.363584357119342312e+05
4.194799999999999862e+00 5.266239620307947043e+05
4.217200000000000060e+00 5.159919745897621033e+05
4.239700000000000024e+00 5.094765382795653422e+05
4.262100000000000222e+00 5.042665449597380939e+05
4.284500000000000419e+00 4.988430934520888259e+05
4.307000000000000384e+00 4.979007768421162036e+05
4.329399999999999693e+00 5.083575834112746525e+05
4.351799999999999891e+00 5.181533638940689270e+05
4.374299999999999855e+00 5.319612541034840979e+05
4.396700000000000053e+00 5.531652977268121904e+05
4.419100000000000250e+00 5.841728269737048540e+05
4.441600000000000215e+00 5.981897603077321546e+05
4.464000000000000412e+00 6.150258233289514901e+05
4.486399999999999721e+00 6.288597256080104271e+05
4.508899999999999686e+00 6.415767104724482633e+05
4.531299999999999883e+00 6.555942139677243540e+05
4.553700000000000081e+00 6.746761505409547826e+05
4.576100000000000279e+00 6.737947526712054387e+05
4.598600000000000243e+00 6.781011034109044122e+05
4.621000000000000441e+00 6.687515780615872936e+05
4.643399999999999750e+00 6.487130985946636647e+05
4.665899999999999714e+00 6.353207055285488022e+05
4.688299999999999912e+00 6.279283972215927206e+05
4.710700000000000109e+00 6.323744098143670708e+05
4.733200000000000074e+00 6.371502352054674411e+05
4.755600000000000271e+00 6.352460218931832351e+05
4.777999999999999581e+00 6.422838152909810888e+05
4.800500000000000433e+00 6.568491632687444799e+05
4.822899999999999743e+00 6.741177691102810204e+05
4.845299999999999940e+00 6.854283354055028176e+05
4.867799999999999905e+00 6.994737412930106511e+05
4.890200000000000102e+00 7.393485171331586316e+05
4.912600000000000300e+00 7.513982919517069822e+05
4.935100000000000264e+00 7.535051044165249914e+05
4.957499999999999574e+00 7.535762825211957097e+05
4.979899999999999771e+00 7.537155767472526059e+05
5.002399999999999736e+00 7.561832267411109060e+05
5.024799999999999933e+00 7.710768944603661075e+05
5.047200000000000131e+00 7.732414617146048695e+05
5.069700000000000095e+00 7.796372700550303562e+05
5.092100000000000293e+00 7.908693605397202773e+05
5.114499999999999602e+00 8.174675838048681617e+05
5.136899999999999800e+00 8.268640799900065176e+05
5.159399999999999764e+00 8.370233351752157323e+05
5.181799999999999962e+00 8.460948716749815503e+05
5.204200000000000159e+00 8.573680282323266147e+05
5.226700000000000124e+00 8.755520122139435261e+05
5.249100000000000321e+00 8.908085117454174906e+05
5.271499999999999631e+00 8.927765445569497533e+05
5.293999999999999595e+00 8.905576817792399088e+05
5.316399999999999793e+00 8.946839226066198898e+05
5.338799999999999990e+00 8.833544110143290600e+05
5.361299999999999955e+00 8.787171919538868824e+05
5.383700000000000152e+00 8.726341702163076261e+05
5.406100000000000350e+00 8.647009875429277308e+05
5.428600000000000314e+00 8.657712980116656981e+05
5.450999999999999623e+00 8.674438462789980695e+05
5.473399999999999821e+00 8.704590170160593698e+05
5.495899999999999785e+00 8.770225136437085457e+05
5.518299999999999983e+00 8.759596834322707728e+05
5.540700000000000180e+00 8.781919954325710423e+05
5.563200000000000145e+00 8.850674283815370873e+05
5.585600000000000342e+00 9.006220448234084761e+05
5.607999999999999652e+00 9.146992556094577303e+05
5.630499999999999616e+00 9.191882103606447345e+05
5.652899999999999814e+00 9.332583764728121459e+05
5.675300000000000011e+00 9.288293339095870033e+05
5.697799999999999976e+00 9.288011967807012843e+05
5.720200000000000173e+00 9.294841641875199275e+05
5.742600000000000371e+00 9.356057931438622763e+05
5.764999999999999680e+00 9.429377383943520254e+05
5.787499999999999645e+00 9.480483827307646861e+05
5.809899999999999842e+00 9.542045490404004231e+05
5.832300000000000040e+00 9.650699035005097976e+05
5.854800000000000004e+00 9.887472263537478866e+05
5.877200000000000202e+00 1.023103574209104176e+06
5.899600000000000399e+00 1.043783266450113617e+06
5.922100000000000364e+00 1.057455482011437649e+06
5.944499999999999673e+00 1.069426449803565862e+06
5.966899999999999871e+00 1.083926747621235438e+06
5.989399999999999835e+00 1.089525865447410848e+06
6.011800000000000033e+00 1.095433170028802007e+06
6.034200000000000230e+00 1.098965053535583662e+06
6.056700000000000195e+00 1.107186315117799677e+06
6.079100000000000392e+00 1.101215302268830361e+06
6.101499999999999702e+00 1.080032267751556123e+06
6.123999999999999666e+00 1.085500044690893963e+06
6.146399999999999864e+00 1.067775090300403535e+06
6.168800000000000061e+00 1.061165086199926445e+06
6.191300000000000026e+00 1.053935641034398461e+06
6.213700000000000223e+00 1.025374950517795864e+06
6.236100000000000421e+00 9.846343078238529852e+05
6.258600000000000385e+00 9.480601320359917590e+05
6.280999999999999694e+00 9.221627358478973620e+05
6.303399999999999892e+00 9.098243064319243422e+05
6.325800000000000090e+00 9.024367555996606825e+05
6.348300000000000054e+00 8.976009823037303286e+05
6.370700000000000252e+00 8.987237679639995331e+05
6.393099999999999561e+00 9.020681176992581459e+05
6.415600000000000414e+00 8.966214449596555205e+05
6.437999999999999723e+00 8.879196729283534223e+05
6.460399999999999920e+00 8.907204330140074017e+05
6.482899999999999885e+00 8.772228262296002358e+05
6.505300000000000082e+00 8.826065944836243289e+05
6.527700000000000280e+00 8.979613648808732396e+05
6.550200000000000244e+00 9.052944441352706635e+05
6.572600000000000442e+00 9.225114808791466057e+05
6.594999999999999751e+00 9.956894396655941382e+05
6.617499999999999716e+00 1.031867536910387105e+06
6.639899999999999913e+00 1.063422060449970653e+06
6.662300000000000111e+00 1.075727746267128037e+06
6.684800000000000075e+00 1.088525169333184371e+06
6.707200000000000273e+00 1.100370115706490586e+06
6.729599999999999582e+00 1.129345534656764008e+06
6.752100000000000435e+00 1.080913549081564648e+06
6.774499999999999744e+00 1.068396191490116296e+06
6.796899999999999942e+00 1.074069731995691778e+06
6.819399999999999906e+00 1.091096649397101719e+06
6.841800000000000104e+00 1.106984261084900238e+06
6.864200000000000301e+00 1.107292311979540391e+06
6.886700000000000266e+00 1.120032343201200711e+06
6.909099999999999575e+00 1.136228337437890470e+06
6.931499999999999773e+00 1.168785817062121816e+06
6.953899999999999970e+00 1.181728191943106242e+06
6.976399999999999935e+00 1.165459146190960193e+06
6.998800000000000132e+00 1.163765411464483710e+06
7.021200000000000330e+00 1.179553396835666150e+06
7.043700000000000294e+00 1.203476362880858360e+06
7.066099999999999604e+00 1.213531349958050065e+06
7.088499999999999801e+00 1.220207831665769918e+06
7.110999999999999766e+00 1.192793300984345376e+06
7.133399999999999963e+00 1.184134335950045614e+06
7.155800000000000161e+00 1.187375575976379914e+06
7.178300000000000125e+00 1.195482226396127837e+06
7.200700000000000323e+00 1.202605812034816016e+06
7.223099999999999632e+00 1.199419431877644034e+06
7.245599999999999596e+00 1.203186053148750914e+06
7.267999999999999794e+00 1.217638051738814218e+06
7.290399999999999991e+00 1.241343479932418093e+06
7.312899999999999956e+00 1.266845707256834023e+06
7.335300000000000153e+00 1.282740049653990893e+06
7.357700000000000351e+00 1.281700698898348026e+06
7.380200000000000315e+00 1.276292659095644718e+06
7.402599999999999625e+00 1.287462290575351100e+06
7.424999999999999822e+00 1.298819155828697607e+06
7.447499999999999787e+00 1.305670535695639206e+06
7.469899999999999984e+00 1.313907825147170341e+06
7.492300000000000182e+00 1.335773356529599288e+06
7.514800000000000146e+00 1.391307219365550205e+06
7.537200000000000344e+00 1.448232454736516811e+06
7.559599999999999653e+00 1.466987069951218553e+06
7.581999999999999851e+00 1.472214880323576508e+06
7.604499999999999815e+00 1.481189977431811159e+06
7.626900000000000013e+00 1.503871246529723285e+06
7.649300000000000210e+00 1.527365567244820995e+06
7.671800000000000175e+00 1.542368496286809212e+06
7.694200000000000372e+00 1.560037585800047964e+06
7.716599999999999682e+00 1.564304388366466388e+06
7.739099999999999646e+00 1.554769415148112923e+06
7.761499999999999844e+00 1.521466389783990802e+06
7.783900000000000041e+00 1.479166004346484086e+06
7.806400000000000006e+00 1.441003185324141057e+06
7.828800000000000203e+00 1.414942228153001284e+06
7.851200000000000401e+00 1.397965788433258189e+06
7.873700000000000365e+00 1.391118056511396309e+06
7.896099999999999675e+00 1.393923951995389303e+06
7.918499999999999872e+00 1.404292082462413935e+06
7.940999999999999837e+00 1.420410387205053121e+06
7.963400000000000034e+00 1.443302899977831170e+06
7.985800000000000232e+00 1.460415787474122597e+06
8.008300000000000196e+00 1.475919276157095097e+06
8.030699999999999505e+00 1.519525024398100330e+06
8.053100000000000591e+00 1.549242947605979396e+06
8.075599999999999667e+00 1.566245457803643076e+06
8.098000000000000753e+00 1.588894329256818863e+06
8.120400000000000063e+00 1.616305055490766419e+06
8.142799999999999372e+00 1.644889252774092369e+06
8.165300000000000225e+00 1.664295567470765905e+06
8.187699999999999534e+00 1.676656662549066357e+06
8.210100000000000620e+00 1.661523259706326062e+06
8.232599999999999696e+00 1.623778812677067937e+06
8.255000000000000782e+00 1.590080310204286827e+06
8.277400000000000091e+00 1.571481545526112197e+06
8.299899999999999167e+00 1.569311172388756648e+06
8.322300000000000253e+00 1.557659754668135429e+06
8.344699999999999562e+00 1.558843480051739141e+06
8.367200000000000415e+00 1.579668883686302230e+06
8.389599999999999724e+00 1.606882745543456869e+06
