# energy dos
-8.006000000000000227e+00 0.000000000000000000e+00
-7.993599999999999817e+00 0.000000000000000000e+00
-7.981200000000000294e+00 0.000000000000000000e+00
-7.968700000000000117e+00 0.000000000000000000e+00
-7.956299999999999706e+00 0.000000000000000000e+00
-7.943799999999999528e+00 0.000000000000000000e+00
-7.931400000000000006e+00 0.000000000000000000e+00
-7.918899999999999828e+00 0.000000000000000000e+00
-7.906500000000000306e+00 0.000000000000000000e+00
-7.894099999999999895e+00 0.000000000000000000e+00
-7.881599999999999717e+00 0.000000000000000000e+00
-7.869200000000000195e+00 0.000000000000000000e+00
-7.856700000000000017e+00 0.000000000000000000e+00
-7.844299999999999606e+00 0.000000000000000000e+00
-7.831900000000000084e+00 0.000000000000000000e+00
-7.819399999999999906e+00 0.000000000000000000e+00
-7.807000000000000384e+00 0.000000000000000000e+00
-7.794500000000000206e+00 0.000000000000000000e+00
-7.782099999999999795e+00 0.000000000000000000e+00
-7.769599999999999618e+00 0.000000000000000000e+00
-7.757200000000000095e+00 0.000000000000000000e+00
-7.744799999999999685e+00 0.000000000000000000e+00
-7.732299999999999507e+00 0.000000000000000000e+00
-7.719899999999999984e+00 0.000000000000000000e+00
-7.707399999999999807e+00 0.000000000000000000e+00
-7.695000000000000284e+00 0.000000000000000000e+00
-7.682599999999999874e+00 0.000000000000000000e+00
-7.670099999999999696e+00 0.000000000000000000e+00
-7.657700000000000173e+00 0.000000000000000000e+00
-7.645199999999999996e+00 0.000000000000000000e+00
-7.632799999999999585e+00 0.000000000000000000e+00
-7.620300000000000296e+00 0.000000000000000000e+00
-7.607899999999999885e+00 0.000000000000000000e+00
-7.595500000000000362e+00 0.000000000000000000e+00
-7.583000000000000185e+00 0.000000000000000000e+00
-7.570599999999999774e+00 0.000000000000000000e+00
-7.558099999999999596e+00 0.000000000000000000e+00
-7.545700000000000074e+00 0.000000000000000000e+00
-7.533299999999999663e+00 0.000000000000000000e+00
-7.520800000000000374e+00 0.000000000000000000e+00
-7.508399999999999963e+00 0.000000000000000000e+00
-7.495899999999999785e+00 0.000000000000000000e+00
-7.483500000000000263e+00 0.000000000000000000e+00
-7.471000000000000085e+00 0.000000000000000000e+00
-7.458599999999999675e+00 0.000000000000000000e+00
-7.446200000000000152e+00 0.000000000000000000e+00
-7.433699999999999974e+00 0.000000000000000000e+00
-7.421299999999999564e+00 0.000000000000000000e+00
-7.408800000000000274e+00 0.000000000000000000e+00
-7.396399999999999864e+00 0.000000000000000000e+00
-7.383899999999999686e+00 0.000000000000000000e+00
-7.371500000000000163e+00 0.000000000000000000e+00
-7.359099999999999753e+00 0.000000000000000000e+00
-7.346599999999999575e+00 0.000000000000000000e+00
-7.334200000000000053e+00 0.000000000000000000e+00
-7.321699999999999875e+00 0.000000000000000000e+00
-7.309300000000000352e+00 0.000000000000000000e+00
-7.296899999999999942e+00 0.000000000000000000e+00
-7.284399999999999764e+00 0.000000000000000000e+00
-7.272000000000000242e+00 0.000000000000000000e+00
-7.259500000000000064e+00 0.000000000000000000e+00
-7.247099999999999653e+00 0.000000000000000000e+00
-7.234600000000000364e+00 0.000000000000000000e+00
-7.222199999999999953e+00 0.000000000000000000e+00
-7.209799999999999542e+00 0.000000000000000000e+00
-7.197300000000000253e+00 0.000000000000000000e+00
-7.184899999999999842e+00 0.000000000000000000e+00
-7.172399999999999665e+00 0.000000000000000000e+00
-7.160000000000000142e+00 0.000000000000000000e+00
-7.147599999999999731e+00 0.000000000000000000e+00
-7.135099999999999554e+00 0.000000000000000000e+00
-7.122700000000000031e+00 0.000000000000000000e+00
-7.110199999999999854e+00 0.000000000000000000e+00
-7.097800000000000331e+00 0.000000000000000000e+00
-7.085300000000000153e+00 0.000000000000000000e+00
-7.072899999999999743e+00 0.000000000000000000e+00
-7.060500000000000220e+00 0.000000000000000000e+00
-7.048000000000000043e+00 0.000000000000000000e+00
-7.035599999999999632e+00 0.000000000000000000e+00
-7.023100000000000342e+00 0.000000000000000000e+00
-7.010699999999999932e+00 0.000000000000000000e+00
-6.998299999999999521e+00 0.000000000000000000e+00
-6.985800000000000232e+00 0.000000000000000000e+00
-6.973399999999999821e+00 0.000000000000000000e+00
-6.960899999999999643e+00 0.000000000000000000e+00
-6.948500000000000121e+00 0.000000000000000000e+00
-6.935999999999999943e+00 0.000000000000000000e+00
-6.923599999999999532e+00 0.000000000000000000e+00
-6.911200000000000010e+00 0.000000000000000000e+00
-6.898699999999999832e+00 0.000000000000000000e+00
-6.886300000000000310e+00 0.000000000000000000e+00
-6.873800000000000132e+00 0.000000000000000000e+00
-6.861399999999999721e+00 0.000000000000000000e+00
-6.849000000000000199e+00 0.000000000000000000e+00
-6.836500000000000021e+00 0.000000000000000000e+00
-6.824099999999999611e+00 0.000000000000000000e+00
-6.811600000000000321e+00 0.000000000000000000e+00
-6.799199999999999910e+00 0.000000000000000000e+00
-6.786699999999999733e+00 0.000000000000000000e+00
-6.774300000000000210e+00 0.000000000000000000e+00
-6.761899999999999800e+00 0.000000000000000000e+00
