#k-distance eigenvalue[eV]
0.90174099 -28.91300000
0.91802741 -28.91290000
0.93431382 -28.91270000
0.95060022 -28.91260000
0.96688663 -28.91250000
0.98317305 -28.91240000
0.99945946 -28.91230000
1.01574587 -28.91220000
1.03203228 -28.91210000
1.04831870 -28.91210000
1.06460510 -28.91210000
1.08089151 -28.91510000
1.09717792 -28.91210000
1.11346433 -28.91210000
1.12975075 -28.91220000
1.14603716 -28.91230000
1.16232357 -28.91250000
1.17860997 -28.91270000
1.19489639 -28.91290000
1.21118280 -28.91310000
1.22746921 -28.91340000
1.24375562 -28.91360000
1.26004204 -28.91390000
1.27632845 -28.91430000
1.29261485 -28.91460000
1.30890126 -28.91500000
1.32518768 -28.91530000
1.34147409 -28.91570000
1.35776050 -28.91520000
1.37404691 -28.91640000
1.39033332 -28.91680000
1.40661973 -28.91710000
1.42290614 -28.91750000
1.43919255 -28.91780000
1.45547896 -28.91810000
1.47176538 -28.91840000
1.48805179 -28.91870000
1.50433820 -28.91900000
1.52062460 -28.91920000
1.53691102 -28.91940000
1.55319743 -28.91960000
1.56948384 -28.91970000
1.58577025 -28.91990000
1.60205667 -28.91990000
1.61834308 -28.92000000
1.63462948 -28.91530000
1.65084218 -28.92000000
1.66705486 -28.91990000
1.68326756 -28.91990000
1.69948025 -28.91980000
1.71569294 -28.91960000
1.73190563 -28.91940000
1.74811833 -28.91930000
1.76433101 -28.91900000
1.78054371 -28.91880000
1.79675640 -28.91850000
1.81296909 -28.91830000
1.82918178 -28.91800000
1.84539448 -28.91770000
1.86160716 -28.91740000
1.87781986 -28.91700000
1.89403255 -28.91670000
1.91024524 -28.91640000
1.92645793 -28.91610000
1.94267063 -28.91580000
1.95888331 -28.91550000
1.97509601 -28.91530000
1.99130870 -28.91500000
2.00752139 -28.91480000
2.02373408 -28.91460000
2.03994678 -28.91440000
2.05615946 -28.91430000
2.07237216 -28.91410000
2.08858485 -28.91400000
2.10479754 -28.91400000
2.12101023 -28.91390000
2.13748378 -28.91390000
2.15395733 -28.91400000
2.17043088 -28.91400000
2.18690443 -28.91410000
2.20337797 -28.91420000
2.21985152 -28.91430000
2.23632507 -28.91440000
2.25279862 -28.91450000
2.26927217 -28.91460000
2.28574571 -28.91480000
2.30221926 -28.91500000
2.31869281 -28.91510000
2.33516636 -28.91530000
2.35163991 -28.91550000
2.36811346 -28.91570000
2.38458700 -28.91590000
2.40106055 -28.91610000
2.41753410 -28.91620000
2.43400765 -28.91640000
2.45048120 -28.91660000
2.46695474 -28.91680000
2.48342829 -28.91690000
2.49990184 -28.91710000
2.51637539 -28.91720000
2.53284894 -28.91730000
2.54932249 -28.91750000
2.56579603 -28.91750000
2.58226958 -28.91760000
2.59874313 -28.91770000
2.61521668 -28.91770000
2.63169023 -28.91780000
2.64816377 -28.91780000
2.66445018 -28.91780000
2.68073659 -28.91770000
2.69702301 -28.91770000
2.71330942 -28.91760000
2.72959583 -28.91750000
2.74588223 -28.91740000
2.76216865 -28.91730000
2.77845506 -28.91720000
2.79474147 -28.91700000
2.81102788 -28.91690000
2.82731430 -28.91670000
2.84360071 -28.91650000
2.85988712 -28.91630000
2.87617352 -28.91610000
2.89245994 -28.91590000
2.90874635 -28.91570000
2.92503276 -28.91550000
2.94131917 -28.91530000
2.95760558 -28.91510000
2.97389200 -28.91490000
2.99017840 -28.91470000
3.00646481 -28.91450000
3.02275122 -28.91430000
3.03903764 -28.91410000
3.05532405 -28.91400000
3.07161046 -28.91380000
3.08789687 -28.91370000
3.10418328 -28.91360000
3.12046969 -28.91350000
3.13675610 -28.91340000
3.15304251 -28.91330000
3.16932893 -28.91330000
3.18561534 -28.91320000
3.20190175 -28.91320000
3.21811444 -28.91320000
3.23432713 -28.91320000
3.25053982 -28.91320000
3.26675252 -28.91320000
3.28296520 -28.91320000
3.29917790 -28.91320000
3.31539059 -28.91310000
3.33160328 -28.91310000
3.34781597 -28.91310000
